timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
216829.020,57.129,7.812,22.949,59.570,10.254,0
216829.024,62.988,32.715,31.250,62.988,34.668,0
216829.027,63.477,45.410,38.086,58.594,46.387,0
216829.031,55.664,35.645,49.316,53.223,12.207,0
216829.035,47.852,30.273,47.363,49.316,17.578,0
216829.039,55.664,34.180,44.434,53.223,8.301,0
216829.043,71.777,35.645,44.922,65.918,-18.066,0
216829.047,63.965,33.691,22.949,62.988,17.578,0
216829.051,53.223,28.809,19.043,49.805,6.348,0
216829.055,42.969,10.742,31.738,41.016,-7.812,0
216829.059,38.086,7.324,35.156,35.645,22.949,0
216829.063,39.062,21.484,38.086,37.598,31.738,0
216829.067,50.293,21.484,39.062,46.387,-9.277,0
216829.070,61.035,25.879,41.992,57.129,-14.160,0
216829.074,54.688,32.227,40.527,58.105,-10.254,0
216829.078,66.895,44.434,29.297,70.312,-24.414,0
216829.082,64.453,44.434,15.625,69.824,13.672,0
216829.086,41.016,21.484,12.695,40.527,12.695,0
216829.090,32.715,7.324,19.043,31.250,20.508,0
216829.094,38.086,17.578,31.738,48.340,51.758,0
216829.098,38.574,32.715,42.969,47.852,7.812,0
216829.102,39.551,28.320,46.875,30.762,8.789,0
216829.106,41.504,17.578,45.410,33.203,47.363,0
216829.110,43.457,27.344,38.086,47.363,41.992,0
216829.113,48.340,36.621,19.043,58.594,23.438,0
216829.117,57.129,34.668,12.207,57.129,4.883,0
216829.121,59.082,29.785,24.414,43.457,15.137,0
216829.125,38.574,25.879,22.461,32.227,21.484,0
216829.129,24.902,15.625,24.902,28.809,-5.371,0
216829.133,36.621,16.113,41.992,31.738,-19.043,0
216829.137,40.039,20.508,53.223,29.785,-13.184,0
216829.141,29.297,19.531,39.062,30.762,34.180,0
216829.145,41.992,32.715,25.879,46.387,64.453,0
216829.149,61.035,49.316,39.062,63.477,29.785,0
216829.152,59.082,40.039,32.227,67.383,32.715,0
216829.156,59.082,18.066,21.973,56.152,41.016,0
216829.160,44.922,8.789,29.297,42.969,95.215,0
216829.164,38.574,16.602,39.062,38.086,79.590,0
216829.168,46.387,29.785,44.434,46.387,28.809,0
216829.172,42.480,26.855,40.039,52.734,26.367,0
216829.176,42.480,26.855,34.180,48.340,-10.742,0
216829.180,50.293,36.621,38.086,49.316,-49.316,0
